pair,cka_score,ci95
whisper-base-enc vs whisper-base-dec,0.235574,0.001648
whisper-base-enc vs whisper-small-enc,0.962106,0.000318
whisper-base-enc vs whisper-small-dec,0.162356,0.001794
whisper-base-enc vs whisper-medium-enc,0.952691,0.000383
whisper-base-enc vs whisper-medium-dec,0.285639,0.002414
whisper-base-enc vs whisper-large-enc,0.872865,0.000720
whisper-base-enc vs whisper-large-dec,0.242607,0.002284
whisper-base-enc vs parakeet-ctc-0.6b,0.788173,0.001496
whisper-base-enc vs mimi,0.786569,0.001529
whisper-base-enc vs voxtral-3b,0.520246,0.002133
whisper-base-enc vs higgs-audio-v2-3b,0.293184,0.003123
whisper-base-enc vs babylm-125m,0.173545,0.001410
whisper-base-enc vs opt-125m,0.224524,0.001754
whisper-base-enc vs babylm-350m,0.730427,0.001714
whisper-base-enc vs babylm-1.3b,0.198749,0.001549
whisper-base-enc vs olmo-7b,0.314157,0.002509
whisper-base-enc vs pythia-160m,0.184679,0.001669
whisper-base-enc vs pythia-6.9b,0.224755,0.001830
whisper-base-dec vs whisper-small-enc,0.224631,0.001721
whisper-base-dec vs whisper-small-dec,0.333171,0.001693
whisper-base-dec vs whisper-medium-enc,0.248476,0.001724
whisper-base-dec vs whisper-medium-dec,0.266168,0.001712
whisper-base-dec vs whisper-large-enc,0.216570,0.001720
whisper-base-dec vs whisper-large-dec,0.153286,0.001899
whisper-base-dec vs parakeet-ctc-0.6b,0.294445,0.001629
whisper-base-dec vs mimi,0.189617,0.001830
whisper-base-dec vs voxtral-3b,0.315814,0.001604
whisper-base-dec vs higgs-audio-v2-3b,0.101250,0.001421
whisper-base-dec vs babylm-125m,0.231768,0.001196
whisper-base-dec vs opt-125m,0.229525,0.001145
whisper-base-dec vs babylm-350m,0.205147,0.001886
whisper-base-dec vs babylm-1.3b,0.231100,0.001241
whisper-base-dec vs olmo-7b,0.244480,0.001329
whisper-base-dec vs pythia-160m,0.203814,0.001174
whisper-base-dec vs pythia-6.9b,0.246245,0.001245
whisper-small-enc vs whisper-small-dec,0.153557,0.001776
whisper-small-enc vs whisper-medium-enc,0.959787,0.000315
whisper-small-enc vs whisper-medium-dec,0.276564,0.002458
whisper-small-enc vs whisper-large-enc,0.890623,0.000644
whisper-small-enc vs whisper-large-dec,0.247230,0.002270
whisper-small-enc vs parakeet-ctc-0.6b,0.787006,0.001521
whisper-small-enc vs mimi,0.754956,0.001640
whisper-small-enc vs voxtral-3b,0.524444,0.002171
whisper-small-enc vs higgs-audio-v2-3b,0.287359,0.003149
whisper-small-enc vs babylm-125m,0.164076,0.001412
whisper-small-enc vs opt-125m,0.213745,0.001759
whisper-small-enc vs babylm-350m,0.711761,0.001850
whisper-small-enc vs babylm-1.3b,0.190160,0.001559
whisper-small-enc vs olmo-7b,0.296774,0.002511
whisper-small-enc vs pythia-160m,0.177589,0.001679
whisper-small-enc vs pythia-6.9b,0.216855,0.001838
whisper-small-dec vs whisper-medium-enc,0.169969,0.001862
whisper-small-dec vs whisper-medium-dec,0.469481,0.002913
whisper-small-dec vs whisper-large-enc,0.153321,0.001822
whisper-small-dec vs whisper-large-dec,0.129801,0.001874
whisper-small-dec vs parakeet-ctc-0.6b,0.185679,0.001773
whisper-small-dec vs mimi,0.120818,0.001635
whisper-small-dec vs voxtral-3b,0.150359,0.001447
whisper-small-dec vs higgs-audio-v2-3b,0.080612,0.001553
whisper-small-dec vs babylm-125m,0.110393,0.000958
whisper-small-dec vs opt-125m,0.116901,0.001057
whisper-small-dec vs babylm-350m,0.175227,0.001969
whisper-small-dec vs babylm-1.3b,0.110628,0.000975
whisper-small-dec vs olmo-7b,0.144608,0.001559
