pair,mean_cka,std_across_runs,ci95_across_runs,score_run1
whisper-base-enc vs whisper-small-enc,0.989678,0.000000,0.000126,0.989678
whisper-base-enc vs whisper-medium-enc,0.989040,0.000000,0.000137,0.989040
whisper-base-enc vs whisper-large-enc,0.978834,0.000000,0.000173,0.978834
whisper-base-enc vs whisper-base-dec,0.933459,0.000000,0.000712,0.933459
whisper-base-enc vs whisper-small-dec,0.894363,0.000000,0.000912,0.894363
whisper-base-enc vs whisper-medium-dec,0.923571,0.000000,0.000652,0.923571
whisper-base-enc vs whisper-large-dec,0.859125,0.000000,0.001101,0.859125
whisper-base-enc vs parakeet-ctc-0.6b,0.940184,0.000000,0.000520,0.940184
whisper-base-enc vs babylm-125m,0.939624,0.000000,0.000530,0.939624
whisper-base-enc vs opt-125m,0.930924,0.000000,0.000617,0.930924
whisper-base-enc vs babylm-350m,0.938064,0.000000,0.000577,0.938064
whisper-base-enc vs babylm-1.3b,0.882811,0.000000,0.000961,0.882811
whisper-base-enc vs pythia-160m,0.924923,0.000000,0.000699,0.924923
whisper-base-enc vs olmo-7b,0.944860,0.000000,0.000559,0.944860
whisper-base-enc vs pythia-6.9b,0.946896,0.000000,0.000493,0.946896
whisper-small-enc vs whisper-medium-enc,0.992506,0.000000,0.000079,0.992506
whisper-small-enc vs whisper-large-enc,0.979461,0.000000,0.000173,0.979461
whisper-small-enc vs whisper-base-dec,0.928196,0.000000,0.000793,0.928196
whisper-small-enc vs whisper-small-dec,0.893334,0.000000,0.000932,0.893334
whisper-small-enc vs whisper-medium-dec,0.923060,0.000000,0.000626,0.923060
whisper-small-enc vs whisper-large-dec,0.857178,0.000000,0.001138,0.857178
whisper-small-enc vs parakeet-ctc-0.6b,0.936460,0.000000,0.000500,0.936460
whisper-small-enc vs babylm-125m,0.938355,0.000000,0.000526,0.938355
whisper-small-enc vs opt-125m,0.931721,0.000000,0.000583,0.931721
whisper-small-enc vs babylm-350m,0.937035,0.000000,0.000562,0.937035
whisper-small-enc vs babylm-1.3b,0.883438,0.000000,0.000976,0.883438
whisper-small-enc vs pythia-160m,0.921153,0.000000,0.000635,0.921153
whisper-small-enc vs olmo-7b,0.943432,0.000000,0.000536,0.943432
whisper-small-enc vs pythia-6.9b,0.945543,0.000000,0.000449,0.945543
whisper-medium-enc vs whisper-large-enc,0.985501,0.000000,0.000123,0.985501
whisper-medium-enc vs whisper-base-dec,0.942354,0.000000,0.000837,0.942354
whisper-medium-enc vs whisper-small-dec,0.897533,0.000000,0.001016,0.897533
whisper-medium-enc vs whisper-medium-dec,0.933109,0.000000,0.000561,0.933109
whisper-medium-enc vs whisper-large-dec,0.866604,0.000000,0.001076,0.866604
whisper-medium-enc vs parakeet-ctc-0.6b,0.959817,0.000000,0.000317,0.959817
whisper-medium-enc vs babylm-125m,0.957701,0.000000,0.000392,0.957701
whisper-medium-enc vs opt-125m,0.950803,0.000000,0.000451,0.950803
whisper-medium-enc vs babylm-350m,0.957493,0.000000,0.000409,0.957493
whisper-medium-enc vs babylm-1.3b,0.892396,0.000000,0.000890,0.892396
whisper-medium-enc vs pythia-160m,0.947635,0.000000,0.000402,0.947635
whisper-medium-enc vs olmo-7b,0.964984,0.000000,0.000368,0.964984
whisper-medium-enc vs pythia-6.9b,0.962950,0.000000,0.000365,0.962950
whisper-large-enc vs whisper-base-dec,0.934958,0.000000,0.000785,0.934958
whisper-large-enc vs whisper-small-dec,0.914248,0.000000,0.000965,0.914248
whisper-large-enc vs whisper-medium-dec,0.934334,0.000000,0.000621,0.934334
whisper-large-enc vs whisper-large-dec,0.883374,0.000000,0.001045,0.883374
whisper-large-enc vs parakeet-ctc-0.6b,0.936355,0.000000,0.000569,0.936355
whisper-large-enc vs babylm-125m,0.946433,0.000000,0.000578,0.946433
whisper-large-enc vs opt-125m,0.940984,0.000000,0.000658,0.940984
whisper-large-enc vs babylm-350m,0.944110,0.000000,0.000598,0.944110
whisper-large-enc vs babylm-1.3b,0.907084,0.000000,0.000883,0.907084
whisper-large-enc vs pythia-160m,0.913541,0.000000,0.000673,0.913541
whisper-large-enc vs olmo-7b,0.946560,0.000000,0.000603,0.946560
whisper-large-enc vs pythia-6.9b,0.952911,0.000000,0.000517,0.952911
whisper-base-dec vs whisper-small-dec,0.907471,0.000000,0.001202,0.907471
whisper-base-dec vs whisper-medium-dec,0.905287,0.000000,0.000850,0.905287
whisper-base-dec vs whisper-large-dec,0.859154,0.000000,0.001116,0.859154
