,whisper-base-enc,whisper-small-enc,whisper-medium-enc,whisper-large-enc,whisper-large-v2-enc,whisper-large-v1-enc,whisper-base-dec,whisper-small-dec,whisper-medium-dec,whisper-large-dec,whisper-large-v2-dec,whisper-large-v1-dec,parakeet-ctc-0.6b,mimi,babylm-125m,opt-125m,babylm-350m,babylm-1.3b,pythia-160m,olmo-7b,pythia-6.9b
whisper-base-enc,1.000000,0.685801,0.603885,0.577130,0.710648,0.589553,0.177728,0.267721,0.373947,0.125111,0.424767,0.256385,0.120096,0.011968,0.181797,0.205554,0.181209,0.183280,0.143772,0.176648,0.145541
whisper-small-enc,0.685801,1.000000,0.911500,0.736340,0.790052,0.869593,0.169724,0.265595,0.413951,0.115904,0.419825,0.268723,0.104219,0.010618,0.167270,0.195233,0.167199,0.168571,0.135957,0.165818,0.137212
whisper-medium-enc,0.603885,0.911500,1.000000,0.876658,0.816573,0.945415,0.155466,0.229451,0.403749,0.111386,0.376351,0.273465,0.106566,0.009099,0.162434,0.182431,0.162811,0.161885,0.130911,0.156092,0.129701
whisper-large-enc,0.577130,0.736340,0.876658,1.000000,0.853754,0.879493,0.159662,0.238417,0.379945,0.136348,0.387172,0.275268,0.110355,0.010127,0.163391,0.187255,0.163871,0.162645,0.137623,0.165743,0.137469
whisper-large-v2-enc,0.710648,0.790052,0.816573,0.853754,1.000000,0.792977,0.223407,0.286525,0.381732,0.208640,0.418173,0.290924,0.226332,0.011712,0.295950,0.293554,0.296682,0.288957,0.232298,0.263996,0.220171
whisper-large-v1-enc,0.589553,0.869593,0.945415,0.879493,0.792977,1.000000,0.167267,0.236951,0.404621,0.124568,0.387434,0.277678,0.126187,0.009913,0.179303,0.196368,0.180156,0.178166,0.144656,0.168650,0.140752
whisper-base-dec,0.177728,0.169724,0.155466,0.159662,0.223407,0.167267,1.000000,0.387602,0.198690,0.258340,0.275430,0.232562,0.214739,0.025742,0.291987,0.299663,0.302037,0.263029,0.371752,0.288349,0.315904
whisper-small-dec,0.267721,0.265595,0.229451,0.238417,0.286525,0.236951,0.387602,1.000000,0.351530,0.308147,0.505180,0.348202,0.117649,0.041151,0.232840,0.283842,0.239353,0.225457,0.271496,0.286644,0.270436
whisper-medium-dec,0.373947,0.413951,0.403749,0.379945,0.381732,0.404621,0.198690,0.351530,1.000000,0.334540,0.523826,0.541525,0.058963,0.010263,0.153741,0.194733,0.151114,0.145342,0.142909,0.202570,0.177839
whisper-large-dec,0.125111,0.115904,0.111386,0.136348,0.208640,0.124568,0.258340,0.308147,0.334540,1.000000,0.251451,0.425615,0.158832,0.012223,0.277132,0.276904,0.274724,0.248689,0.303771,0.340822,0.310697
whisper-large-v2-dec,0.424767,0.419825,0.376351,0.387172,0.418173,0.387434,0.275430,0.505180,0.523826,0.251451,1.000000,0.430152,0.053389,0.011966,0.163545,0.234178,0.163742,0.167550,0.178866,0.219192,0.193388
whisper-large-v1-dec,0.256385,0.268723,0.273465,0.275268,0.290924,0.277678,0.232562,0.348202,0.541525,0.425615,0.430152,1.000000,0.085273,0.008415,0.180248,0.204162,0.180364,0.164296,0.196958,0.228183,0.207242
parakeet-ctc-0.6b,0.120096,0.104219,0.106566,0.110355,0.226332,0.126187,0.214739,0.117649,0.058963,0.158832,0.053389,0.085273,1.000000,0.018367,0.316135,0.254777,0.320640,0.284622,0.262246,0.230270,0.213092
mimi,0.011968,0.010618,0.009099,0.010127,0.011712,0.009913,0.025742,0.041151,0.010263,0.012223,0.011966,0.008415,0.018367,1.000000,0.010815,0.013913,0.011347,0.011965,0.017241,0.015349,0.019478
babylm-125m,0.181797,0.167270,0.162434,0.163391,0.295950,0.179303,0.291987,0.232840,0.153741,0.277132,0.163545,0.180248,0.316135,0.010815,1.000000,0.661115,0.858791,0.712243,0.625602,0.572312,0.522824
opt-125m,0.205554,0.195233,0.182431,0.187255,0.293554,0.196368,0.299663,0.283842,0.194733,0.276904,0.234178,0.204162,0.254777,0.013913,0.661115,1.000000,0.653010,0.554925,0.685125,0.664668,0.638475
babylm-350m,0.181209,0.167199,0.162811,0.163871,0.296682,0.180156,0.302037,0.239353,0.151114,0.274724,0.163742,0.180364,0.320640,0.011347,0.858791,0.653010,1.000000,0.715330,0.621441,0.562158,0.515644
babylm-1.3b,0.183280,0.168571,0.161885,0.162645,0.288957,0.178166,0.263029,0.225457,0.145342,0.248689,0.167550,0.164296,0.284622,0.011965,0.712243,0.554925,0.715330,1.000000,0.529169,0.497395,0.460223
pythia-160m,0.143772,0.135957,0.130911,0.137623,0.232298,0.144656,0.371752,0.271496,0.142909,0.303771,0.178866,0.196958,0.262246,0.017241,0.625602,0.685125,0.621441,0.529169,1.000000,0.626605,0.675350
olmo-7b,0.176648,0.165818,0.156092,0.165743,0.263996,0.168650,0.288349,0.286644,0.202570,0.340822,0.219192,0.228183,0.230270,0.015349,0.572312,0.664668,0.562158,0.497395,0.626605,1.000000,0.772433
pythia-6.9b,0.145541,0.137212,0.129701,0.137469,0.220171,0.140752,0.315904,0.270436,0.177839,0.310697,0.193388,0.207242,0.213092,0.019478,0.522824,0.638475,0.515644,0.460223,0.675350,0.772433,1.000000
