,whisper-base-enc,whisper-small-enc,whisper-medium-enc,whisper-large-enc,whisper-large-v2-enc,whisper-large-v1-enc,whisper-base-dec,whisper-small-dec,whisper-medium-dec,whisper-large-dec,whisper-large-v2-dec,whisper-large-v1-dec,parakeet-ctc-0.6b,mimi,kaldi-librispeech,kaldi-librispeech-penult,kaldi-librispeech-antepen,wav2vec2-base,babylm-125m,opt-125m,babylm-350m,babylm-1.3b,pythia-160m,olmo-7b,pythia-6.9b
whisper-base-enc,1.000000,0.804643,0.840928,0.770763,0.767592,0.785936,0.155257,0.333765,0.442683,0.152677,0.440989,0.239422,0.126263,0.039918,0.114763,0.106786,0.088037,0.110792,0.179515,0.189859,0.175709,0.179973,0.136395,0.189859,0.138691
whisper-small-enc,0.804643,1.000000,0.957657,0.797735,0.725171,0.948379,0.157878,0.356997,0.468987,0.157606,0.471624,0.243255,0.108774,0.039258,0.079697,0.074522,0.061805,0.087476,0.180640,0.197627,0.176001,0.179336,0.137965,0.194114,0.138603
whisper-medium-enc,0.840928,0.957657,1.000000,0.861439,0.753131,0.950837,0.159506,0.359487,0.508688,0.164448,0.501659,0.266729,0.103428,0.037952,0.072763,0.067748,0.056317,0.083907,0.182569,0.202676,0.177605,0.180325,0.140847,0.196808,0.141152
whisper-large-enc,0.770763,0.797735,0.861439,1.000000,0.839933,0.842672,0.168170,0.369828,0.473830,0.194997,0.497769,0.279942,0.111930,0.037324,0.079634,0.075128,0.063310,0.084378,0.197624,0.220936,0.192792,0.192057,0.160197,0.223233,0.160511
whisper-large-v2-enc,0.767592,0.725171,0.753131,0.839933,1.000000,0.766750,0.200097,0.341585,0.379917,0.203563,0.413331,0.248756,0.207373,0.046335,0.158147,0.147685,0.124759,0.136313,0.261985,0.258482,0.259120,0.257252,0.209261,0.259505,0.205131
whisper-large-v1-enc,0.785936,0.948379,0.950837,0.842672,0.766750,1.000000,0.177607,0.375874,0.482991,0.176826,0.490646,0.262939,0.130538,0.042900,0.090977,0.084519,0.069780,0.095113,0.205903,0.222252,0.201601,0.203442,0.162204,0.214835,0.159698
whisper-base-dec,0.155257,0.157878,0.159506,0.168170,0.200097,0.177607,1.000000,0.333625,0.133935,0.206852,0.210711,0.165529,0.145035,0.040649,0.036578,0.035575,0.031919,0.030095,0.334170,0.308024,0.344300,0.305953,0.440528,0.272332,0.343326
whisper-small-dec,0.333765,0.356997,0.359487,0.369828,0.341585,0.375874,0.333625,1.000000,0.229650,0.279998,0.498555,0.233853,0.090458,0.071066,0.017420,0.017141,0.015991,0.050822,0.251621,0.271859,0.255032,0.250794,0.306123,0.280519,0.273619
whisper-medium-dec,0.442683,0.468987,0.508688,0.473830,0.379917,0.482991,0.133935,0.229650,1.000000,0.385103,0.436094,0.448480,0.046800,0.014912,0.011397,0.011427,0.009601,0.040889,0.164255,0.200041,0.157582,0.151042,0.157381,0.220645,0.183370
whisper-large-dec,0.152677,0.157606,0.164448,0.194997,0.203563,0.176826,0.206852,0.279998,0.385103,1.000000,0.313000,0.456555,0.078084,0.017934,0.020512,0.020966,0.017399,0.023740,0.252260,0.281511,0.250286,0.229642,0.288727,0.331269,0.294718
