pair,cka_score,hsic_std
whisper-base-enc vs whisper-small-enc,0.825595,0.000312
whisper-base-enc vs whisper-medium-enc,0.867699,0.000320
whisper-base-enc vs whisper-large-enc,0.805626,0.000418
whisper-base-enc vs whisper-base-dec,0.199530,0.000170
whisper-base-enc vs whisper-small-dec,0.375454,0.000579
whisper-base-enc vs whisper-medium-dec,0.483232,0.000238
whisper-base-enc vs whisper-large-dec,0.183452,0.000085
whisper-base-enc vs parakeet-ctc-0.6b,0.165629,0.000048
whisper-base-enc vs mimi,0.083476,0.000014
whisper-base-enc vs babylm-125m,0.224127,0.000107
whisper-base-enc vs opt-125m,0.230522,0.000141
whisper-base-enc vs babylm-350m,0.222671,0.000114
whisper-base-enc vs babylm-1.3b,0.230428,0.000090
whisper-base-enc vs pythia-160m,0.186716,0.000002
whisper-base-enc vs olmo-7b,0.234758,0.000144
whisper-base-enc vs pythia-6.9b,0.181845,0.000179
whisper-small-enc vs whisper-medium-enc,0.971307,0.000465
whisper-small-enc vs whisper-large-enc,0.825376,0.000561
whisper-small-enc vs whisper-base-dec,0.194874,0.000189
whisper-small-enc vs whisper-small-dec,0.393756,0.000656
whisper-small-enc vs whisper-medium-dec,0.497397,0.000290
whisper-small-enc vs whisper-large-dec,0.180912,0.000093
whisper-small-enc vs parakeet-ctc-0.6b,0.140269,0.000050
whisper-small-enc vs mimi,0.081341,0.000015
whisper-small-enc vs babylm-125m,0.208662,0.000109
whisper-small-enc vs opt-125m,0.225749,0.000158
whisper-small-enc vs babylm-350m,0.206501,0.000116
whisper-small-enc vs babylm-1.3b,0.213636,0.000091
whisper-small-enc vs pythia-160m,0.176859,0.000002
whisper-small-enc vs olmo-7b,0.227113,0.000157
whisper-small-enc vs pythia-6.9b,0.170479,0.000184
whisper-medium-enc vs whisper-large-enc,0.886028,0.000518
whisper-medium-enc vs whisper-base-dec,0.195141,0.000158
whisper-medium-enc vs whisper-small-dec,0.389797,0.000542
whisper-medium-enc vs whisper-medium-dec,0.528900,0.000281
whisper-medium-enc vs whisper-large-dec,0.184941,0.000082
