model,params,arch,embedding_dim,effective_rank,var_pc1,var_top5,var_top10
whisper-base-enc,74M,Whisper encoder,512,18.98,0.2051,0.6141,0.7571
whisper-small-enc,244M,Whisper encoder,768,15.15,0.2577,0.6928,0.8061
whisper-medium-enc,769M,Whisper encoder,1024,15.58,0.2811,0.6717,0.7817
whisper-large-enc,1550M,Whisper encoder,1280,16.20,0.2720,0.6520,0.7866
whisper-base-dec,74M,Whisper decoder,512,33.51,0.1624,0.3825,0.5235
whisper-small-dec,244M,Whisper decoder,768,17.63,0.3470,0.6032,0.7056
whisper-medium-dec,769M,Whisper decoder,1024,20.26,0.2382,0.5726,0.7196
whisper-large-dec,1550M,Whisper decoder,1280,32.68,0.1581,0.4041,0.5367
parakeet-ctc-0.6b,600M,FastConformer-CTC,1024,35.48,0.1031,0.3571,0.5227
mimi,~85M,Conv+Transformer codec,512,18.97,0.2567,0.5879,0.7326
babylm-125m,125M,OPT,768,35.51,0.1334,0.3585,0.5099
opt-125m,125M,OPT,768,33.48,0.1522,0.3809,0.5337
babylm-350m,350M,OPT,1024,35.42,0.1285,0.3607,0.5130
babylm-1.3b,1.3B,OPT,2048,35.03,0.1353,0.3718,0.5168
pythia-160m,160M,GPT-NeoX,768,32.75,0.1399,0.3955,0.5479
olmo-7b,7B,OLMo-2,4096,24.04,0.2080,0.5006,0.6737
pythia-6.9b,6.9B,GPT-NeoX,4096,21.12,0.2242,0.5649,0.7045
